FID,UOGID,NAME,TYPE,STUSAB,STATE,CDBG_AMT,ESG_AMT,HOME_AMT,HOPWA_AMT,TOT_AMT,YEAR,SHAPE_Length,SHAPE_Area,FUNDING ROUND,PROGRAM TYPE,PROGRAM JURISDICTION,FUNDING SOURCE,ROUND START,ROUND END,DOC TIMING,TOTAL REQUIREMENTS,TOTAL DOCS,PHYSICAL PRESENCE,TENURE/HISTORY,STANDARD FINANCIAL,NON-STANDARD FINANCIAL,PROOF COVID-RELATED,CRIMINAL HISTORY,INTENDED USE,BUSINESS TYPE,BUSINESS SIZE,GOOD STANDING,POST-AWARD RECEIPTS,MISCELLANEOUS,DOC ELEMENTS,PREVIOUS APP INCLUSION,CONTACT,WEB ADDRESS (ORIGINAL CODING ROUND),"WEB ADDRESS (IF ORIGINAL LINK INACTIVE, WEBARCHIVE LINK)",DATE COLLECTED,GRANT AMOUNT,"DISTRIBUTION METHOD (rj note: these were coded more consistently later but coding guide not followed closely -- eg different variations of first come first serve spelling, so goal here is to fill in blank rows and for non-blank ones, to double check whether you agree with the distribution method coding based on the website and then standardize the name based on the ""Code"" sheet)",PREFERENCES: MINORITY-OWNED BUSINESSES (0 = NO; 1 = YES; M = UNKNOWN),PREFERENCES: WOMEN-OWNED BUSINESSES (0 = NO; 1 = YES; M = UNKNOWN),"PREFERENCES: BUSINESS LOCATED IN HIGH-POVERTY AREA (might be called high-poverty, LMI area, needy area, etc) (0 = NO; 1 = YES; M = UNKNOWN)",PREFERENCES: HOLISTIC CRITERIA FROM REVIEWERS (0 = NO; 1 = YES; M = UNKNOWN),PREFERENCES: ECONOMIC CRITERIA (FTE; REVENUE/PROFITABILITY) (0 = NO; 1 = YES; M = UNKNOWN),PREFERENCES: OTHER (write out),PREFERENCES: NOTES ON CODING,RESTRICTS ELIGIBILITY TO UNDERSERVED BUSINESSES ONLY (0 = NO; 1 = YES),NOTES ON ELIGIBILITY CRITERIA (OPTIONAL),CODER ,PREFERENCES: WOMEN-OWNED BUSINESSES (0 = NO; 1 = YES; M = UNKNOWN),LINK TO 3RD PARTY ASSISTANCE,CHECKLIST,DOCUMENTATION NOTES,TOTAL RECIPIENTS,AVERAGE GRANT SIZE,MINORITY OWNED RECIPIENTS,WOMEN OWNED RECIPIENTS,OUTCOME NOTES,RJ notes
192,120270,BRADENTON,51,FL,12,421566,0,0,0,421566,2018,1.343949309,0.003468286467,3,1,COUNTY,0,M,10/21/20,M,5,4,1,0,3,1,1,0,0,1,1,0,,1, Has recorded losses related to the Governor’s Safer at Home Order; <= 500 employees; physical location; W-9 form; proof of COVID related; ,NA, 311@mymanatee.org,https://www.mymanatee.org/departments/redevelopment___economic_opportunity/economic_development/recovermanatee/safety_first_small_business_grant_program,,12/08/20,"$5,000 - $50,000",M,M,M,M,M,M,,,M,,,,,Funded by CARES Act,,,,,,,
376,220030,ALEXANDRIA,51,LA,22,434250,0,236270,0,670520,2018,1.707459076,0.007137742032,1,1,STATE,0,7/28/20,9/29/20,M,9,3,1,1,1,1,1,0,0,0,1,0,,1,Physical presence; 50%+ owned by LA resident; < 50 employees; not involved in political activity; active business operations (no investment firms); suffered businesss interruption,NA,225-342-0010,https://web.archive.org/web/20200702020857/https://www.treasury.la.gov/main-street,,7/2/20,0-15000,Other,0,0,0,0,0,,,0,,,,,"State level program, criteria were relaxed in Sept 2020, funded by state, hard to find criteria and doc requirements",,,,,,,
14,40144,FLAGSTAFF,51,AZ,4,621718,0,0,0,621718,2018,1.965991723,0.01424706686,1,1,STATE,0,M,M,0,M,1,M,M,0,0,1,0,0,1,1,0,,0,"Profit, size of business; type ",NA,info@azmep.com,https://www.azcommerce.com/programs/arizona-mep/arizona-mep-emergency-assistance-program/,,12/29/20,Depends,FCFS; Comm,0,0,0,0,0,,"FCFS, but committee deteremiens how much money you'll get, if any",0,,,,,Part of Fund by CARES Act; only can apply for Manufacturers ,,,,,,,
650,350012,ALBUQUERQUE,51,NM,35,4460081,357711,2147996,0,6965788,2018,3.842072902,0.04852296749,1,1,CITY,0,10/26/20,10/30/20,0,7,7,1,1,4,2,1,0,1,1,1,0,,0,Summary of results 6mo post receipt; standard financials; size and type; tenure; financial docs establishing COVID related losses; business license; employment verification; physical presence,NA,(505) 768-3730,https://www.cabq.gov/economicdevelopment/small-business-economic-relief-grant,,1/28/21,0-10000,M,M,M,M,M,M,,,M,,,,,"3 rounds, last closed on 12/11/20, funded by CARES but unclear if CDBG",140,5000,,,"Link to list of recipients leads to login page, unable to register",,
334,180912,ELKHART,51,IN,18,764144,0,0,0,764144,2018,1.620971455,0.007648172197,1,1,STATE,0,11/13/20,12/4/20,0,9,8,0,1,4,2,1,0,1,1,1,0,,2,"< 25 employees; increased operating expenses from COVID guidelines; financial losses due to COVID; tax returns, IRS guidelines, YTD 2020 finances; state business license; narrative of COVID impact and general business narrative",NA,econdevelopment@co.delaware.oh.us,https://economicdevelopment.co.delaware.oh.us/2020/11/03/small-business-protection-program/,,1/29/21,0-15000,FCFS,0,0,0,0,0,,,0,,,,,"Funded by CARES Act; multiple Sec of State related requirements, need to clearly establish COVID losses, need to demonstrate cooperation with Restsart Ohio guidelines",,,,,,,
1012,365572,ROME,51,NY,36,1013789,0,0,0,1013789,2018,0.9686715165,0.02169460608,1,0,STATE,0,M,M,1,8,7,1,1,5,2,1,1,1,1,1,1,,0,Proof no receipt of PPP/SBA funds; standard financial docs; proof of COVID related financial loss; physical presence in NY and open for 1yr min; business size and type restrictions; <$5mil annual gross revenue,NA,nys-mohawkval@esd.ny.gov,https://www.connect2capital.com/partners/new-york-forward-loan-fund/business-requirements/,,1/28/21,0-100000,Other,0,0,0,0,0,,,0,,,,,"Simple application, documentation collected through direct contact by provider employees, state program, no city program and county program is by private company",,,,,,,
267,123000,TALLAHASSEE,51,FL,12,1887892,160982,983614,0,3032488,2018,3.242206974,0.02513480672,2,1,COUNTY,0,09/29/20,10/19/20,0,4,M,1,0,4,0,1,0,0,1,1,0,,M,25% decrease in revenue; W-9; W-3 or 941 form,1,855-203-6584,https://leonfaster.powerappsportals.com/faq/,,10/289/20,"$5,000 - $ 12,500",FCFS,1,1,0,0,1,,"women/minority owned businesses and businesses hiring FTEs get more money; otherwise, money is given based on # of employees ",0,,,,,Funded by CARES Act; channel closed; found info from FAQ,,,,,,,
455,260432,BATTLE CREEK,51,MI,26,1211609,0,300750,0,1512359,2018,0.9586008752,0.01236824497,2,1,CITY,0,M,5/11/20,0,10,6,1,0,4,1,1,1,1,1,1,0,,2,"<$1mil annual revenue; business size and type; corporate bylaws and articles of incorporation; intended fund use; M/WBE can submit certification for priority; proof of COVID related losses (writing only, not formal doc); standard financials",0,COVID-19@BCUNLIMITED.ORG,https://battlecreekcovid-19.com/,,1/28/21,3000-5000,Other,1,0,0,0,1,,,0,,,,,"City has additional Rent and Mortgage Assistance Program (RMAP) for small businesses, this program is part city-funded and part from donations, relatively low number of doc requirements",,,,,,,
2,10594,DECATUR,51,AL,1,484718,0,0,0,484718,2018,2.750140896,0.01565929889,1,1,CITY,0,11/11/20,11/25/20,M,11,10,1,0,4,2,1,0,1,1,1,1,,1,Physical location; <= 25 employees; operate before 03/01/20,NA,angela.threadgill@decaturga.com,https://leonfaster.powerappsportals.com/faq/,,M,"$5,000 - $25,000",FCFS,1,1,0,0,1,,"women/minority owned businesses and businesses hiring FTEs get more money; otherwise, money is given based on # of employees",0,,,,,Funded by CARES Act,,,,,,,
1181,320096,HENDERSON,51,NV,32,1399412,0,678599,0,2078011,2018,2.186307613,0.04403947511,2,1,CITY,0,10/1/20,10/15/20,0,8,5,0,0,4,1,1,0,0,1,1,0,,0,<100 employees; type of business; standard financial docs including business license; financial proof that losses are COVID related,M,cohecon@cityofhenderson.com,https://web.archive.org/web/20201016033619/https://hendersonnow.com/covid19/,,10/16/20,2500-40000,FCFS,0,0,0,0,1,,amount of money based on # FTE,0,,,,,"Funded by CARES but unclear if CDBG, relatively light documentation requirements, grant amount determined by number of employees ",,,,,,,
681,373144,WILMINGTON,51,NC,37,998905,0,707902,0,1706807,2018,1.14881654,0.01320380135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,M,M,M,M,M,,It appears as though they have not started a program yet. They just were notified that they would get money in March 2021,M,,,,,,,,,,,,
230,80690,GREELEY,51,CO,8,860863,0,418361,0,1279224,2018,1.98512078,0.01306287244,M,1,CITY,0,1/25/21,2/15/21,0,8,8,0,1,4,2,0,0,0,1,1,1,,1,"Attestation form; business license; P/L or sales tax receipts, tax returns, unemployment insurance payroll tax receipt, W9; monthly revenue template, demonstration of COVID losses; certificate of good standing; < $2.5mil annual revenue; at least 1 employee; busniess type; operating before 3/26/20; compliance with all health orders",M,info@greeleyarearecoveryfund.com,Apply – Greeley Area Business Recovery Fund (greeleyarearecoveryfund.com),,2/1/21,0-7000,Other,0,0,0,0,0,,"funding for all — ""All qualified businesses that submit an accurate and complete application will receive a relief grant.  Award amounts will depend on the total number of qualified businesses and funding available.""",0,,,,,"Very clear application instructions, funded by local senate, grant amount based on # of employees",,,,,"Grant amount based on amount of total funding and number of applicants, all will receive some funding",,
214,64176,YUBA CITY,51,CA,6,650001,0,0,0,650001,2018,0.5503664359,0.004160003825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Points; FCFS,0,0,0,0,0,,,0,,,,,,,,,,,,
764,391602,ELYRIA,51,OH,39,717614,0,0,0,717614,2018,0.9581684716,0.005810943467,1,1,COUNTY,0,M,10/16/20,0,5,3,1,1,2,1,1,0,0,1,1,0,,0,<$1mil annual revenue; in business prior to 3/1/20; <=15 employees; physical storefront; W9 and federal tax return; financial impact of COVID; prior application to SBA; type of business,NA,(440) 329-5111,Lorain County Small Business Assistance Grant (archive.org),,10/16/20,0-5000,M,M,M,M,M,M,,,M,,,,,"M/WBE status on application but unclear how it affects grant priority, short and simple application online, multiple rounds occurred, website notes most common issue with apps is missing documentation, county level program, distribution method not stated but likely a points system, funded by CARES",,,,,Public info on applications received but not aggregate info on grantees,Small Business Grant Information (loraincounty.us),
202,121008,FORT WALTON BEACH,51,FL,12,138113,0,0,0,138113,2018,0.5262851757,0.001823798544,1,1,CITY,0,M,08/07/20,0,10,6,1,0,3,1,1,0,0,0,1,1,,1,"2019 Business Tax Return; Profit & Loss Statements (P&L) for April 2019 and April 2020; Employer Form 941(Q1 2020), IRS Form W3 (2019) or Form 1099; copy of the primary applicant(s) driver’s license(s)",NA,fwbcovidgrant@gmail.com,https://www.fwb.org/city-manager/page/fwb-covid-small-business-grant-reopened,,02/03/21,"$2,500",FCFS; Comm,0,0,0,1,0,,the review board looks over all applications and awards the money on an FCFS basis,0,,,,,Unclear funding source; ,,,,,,,
782,402268,402268,51,OK,40,4901496,394559,2482884,702611,8481550,2018,4.646956912,0.1596682718,1,1,CITY,1,4/6/20,4/17/20,0,M,M,1,1,4,1,1,0,1,1,1,1,,0,Proof of financial COVID losses; size and type; operating at least 1yr prior to 3/16/20; physical presence in city; majority of revenue generated in person; standard financial docs; whether applied to SBA/PPP,NA,info@okcsmallbizhelp.com,Oklahoma City Small Business Continuity Program (archive.org),,4/12/20,0-100000,Points,0,0,0,0,0,,,0,must have more than 50% decline in rev,,,,"Multiple program options from 10yr forgivable loan to short-term technical assistance and reimbursement, mulitple rounds have occurred with some targeted at MBEs",172,19313.28,,,"Public database shows loan recipients but no M/WBE info, only name/location",,
981,511236,PORTSMOUTH,51,VA,51,1557075,0,452783,0,2009858,2018,0.5988229191,0.009628424954,1,1,CITY,0,M,10/31/20,M,9,1,1,0,0,1,1,0,0,1,1,1,,1,<= 50 employees; profit&lost statement; physical location; good standing; operate 03/01/19; ,NA,recoverygrnt@portsmouthva.gov,https://www.accessportsmouthva.com/covid-business-recovery-grant,,11/23/20,"Up tp $10,000",FCFS,0,0,0,0,0,,,0,,,,,Funded by CARES Act,,,,,,,
281,91104,STRATFORD,51,CT,9,592787,0,0,0,592787,2018,0.5047115068,0.005131247342,3,1,CITY,1,M,M,0,7,5,1,1,2,2,1,0,1,1,1,0,,1,"W9, federal tax return; proof of financial COVID losses, non duplication documentation (no SBA/PPP assistance); majority low to moderate income ownership/employees; affidavit; receipts for reimbursements; physical presence; good standing",M,CommunityDevelopment@townofstratford.com,"Microenterprise Assistance Program - Town of Stratford, CT",,2/2/21,0-5000,FCFS,0,0,0,0,0,,for micro-businesses only (with owner or 51% employees LMI),0,,,,,"3 rounds have occurred, custom duplication of benefits affidavit and worksheet must be submitted",,,,,"Previous round reicipients only eligible for 2500, no info on winners publicly available",,
364,194812,SIOUX CITY,51,IA,19,1660166,0,472000,0,2132166,2018,1.638561065,0.01786247648,1,1,STATE,0,,03/31/20,0,M,2,1,0,2,0,0,0,0,M,M,M,,M,W-9 form,M,mailto:consumer@ag.iowa.gov,https://www.iowaeda.com/iowa-stories/iowa-small-business-relief-award-notifications/,,2/2/21,"$5,000 - $25,000",M,M,M,M,M,M,,,M,,,,,Funded by CARES Act; unclear about the requirements and specific documentation ,,,,,,,
19,40348,PRESCOTT,51,AZ,4,258032,0,0,0,258032,2018,1.573161652,0.01058344087,1,1,STATE,0,M,M,0,M,1,M,M,0,0,1,0,0,1,1,0,,0,"Profit, size of business; type ",NA,info@azmep.com,https://www.azcommerce.com/programs/arizona-mep/arizona-mep-emergency-assistance-program/,,12/29/20,Depends,FCFS,0,0,0,0,0,,,0,for manufacturers,,,,"Part of Fund by CARES Act; only can apply for Manufacturers, state level program only",,,,,No info,,
657,362480,GLEN FALLS,51,NY,36,489025,0,0,0,489025,2018,0.1870990905,0.001146386354,1,0,CITY,0,06/20,09/20,M,9,7,1,0,6,1,0,0,0,1,1,1,,1,2019/20 financial statement; balance sheet; 2019 federal/state tax returns; personal financial statement; <=20 employees; <$2.5 million annual revenues; greater than 10% decrease on revenue,NA,Ebratholomew@edcwc.org,https://glensfallsldc.com/downloads/2020/SBRF_GuidelinesApplication_2020.pdf,,06/20,"Up to $7,500",M,M,M,M,M,M,,,M,,,,,Unclear funding sources ,,,,,,,
808,480018,ABILENE,51,TX,48,899256,0,452361,0,1351617,2018,1.773081292,0.02815242275,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,,M,M,M,M,M,M,M,M,,,M,,,,,"Unable to find any evidence of even a statewide small business grant/loan program, only references to the natinoal PPP/SBA programs and extremely early reopening plans",,,,,M,,
80,62088,LONG BEACH,51,CA,6,6099577,496583,3011176,0,9607336,2018,1.651578244,0.01291342914,1,1,CITY,0,M,10/30/20,0,,,1,0,2,3,1,0,0,0,1,0,,2,"Complete ZoomGrant application Copy of Photo ID Supporting Documentation to prove Damage or Vandalism impact, including: Insurance Claim Pictures Paid Invoices Receipts of Fixed Repairs W-9 Form Request for Taxpayer Identification Number and Certification",M,4Biz@longbeach.gov,https://web.archive.org/web/20201017030353if_/http://longbeach.gov/economicdevelopment/small-business-grants/small-business-restart-grant-program/,,10/17/20,"Up to $10,000",Other; FCFS,0,0,0,0,0,,"this is only for businesses affected by looting, etc.",0,,,,,Unclear funding sources ,,,,,,,
188,63180,SAN BERNARDINO,51,CA,6,3376861,275207,1385676,0,5037744,2018,2.406081482,0.01816146953,1,1,COUNTY,M,M,12/13/20,0,6,4,1,1,4,0,0,1,0,1,1,1,,1,"Optional photos/videos; <100 employees; physical presence and operating pre 1/1/20; W9, tax return, 2019 payroll; business license",NA,sbcovidbusiness@eda.sbcounty.gov,https://sbcovid19.com/covid-compliant-business-partnership-program/,,2/2/21,0-5000,FCFS,0,0,0,0,0,,,0,,,,,"Program based on being ""COVID-compliant business partner"", priority given to businesses who didn't receive PPP/SBA funding, requirements different by type of business",,,,,No info,,
811,480726,BROWNSVILLE,51,TX,48,2698987,229698,920577,0,3849262,2018,3.700432017,0.03414321816,1,0,CITY,1,10/05/20,10/23/20,M,10,9,1,1,5,4,1,1,0,0,1,0,,1,<=15 employees; < $1.5 million annual revenue; operating before 03/01/19,M,mailto:nburkhart@bcic.us,https://brownsvilleedc.org/covid19/,,08/20,"Up to $10,000",FCFS; Lottery,0,0,0,0,0,,reviews for elligibility; may do lottery if more apps than funds for,0,,,,,Funded by CDBG,,,,,,,
772,470228,BRISTOL,51,TN,47,182808,0,1137999,0,1320807,2018,1.533611055,0.008639213767,1,1,STATE,0,6/2/20,9/25/20,1,4,M,M,M,1,M,M,M,M,1,M,M,M,M,Unable to access documentation required; <$10mil annual revenue and business type asked for in screening,NA,revenue.support@tn.gov,https://www.tn.gov/revenue/tennessee-business-relief-program.html,,9/1/20,2500-30000,FCFS,0,0,0,0,0,,,0,,,,,Unable to access any info about grant requirements except for screening based on annual revenue and business type,,,,,No info,,
406,171716,DECATUR,51,IL,17,1378744,0,444741,0,1823485,2018,2.407748511,0.01283339068,1,1,CITY,0,M,01/06/21,M,M,8,1,1,5,2,1,0,0,0,1,1,,0,<=10 employees; rental property tax; W-9 form; Current bank statement; Proof of goof standing; 2018/19 tax returns; Proof of COVID related,M,support@illinois.gov,https://web.archive.org/web/20210107005558/https://www.decaturil.gov/public-information/city-of-decatur-covid-19-business-impact/,,01/07/21,"Up to $6,000",FCFS,0,0,0,0,0,,,0,,,,,Funded by DECO-CURE-ES program,,,,,,,
516,251938,PITTSFIELD,51,MA,25,1262825,0,0,0,1262825,2018,0.449654861,0.01203611282,1,1,CITY,1,M,12/31/20,0,9,6,1,1,4,2,1,0,1,1,1,1,1,1,"Priority to M/WBEs and <10 emlpoyee businesses; low/moderate income owners/employees; >1yr operations; <$1.5mil 2019 annual revenue; >=50% revenue loss since 2/29/20 due to COVID; good standing; restricted uses; tax returns, W9, balance sheet, P/Ls; proof of purchases post-grant; applications for other funding; timetable for funding use; proposed budget for funding",NA,pittsfieldsmallbusiness@cityofpittsfield.org,https://www.cityofpittsfield.org/departments/community_development/covid-19_recovery_program.php,,2/3/21,0-10000,Comm,1,1,0,1,0,,,0,,,,,"Simple and straightforward application, CDBG funded",,,,,No info,,
226,80072,AURORA,51,CO,8,2904239,241052,1238811,0,4384102,2018,4.506105956,0.04181523932,2,1,COUNTY,0,0,01/31/21,M,14,10,1,1,4,2,1,0,0,1,1,1,,1,"physical location; tax number; AICS code for eligible industry; Affirmation of intent to continue operations within 6 months; 20% reduction in revenue since March 26, 2020; business license in good standing; has received no other funds from SB20B-001; less than $2.5 million in sales in 2019; Affirmation your business is in compliance with all current public health orders ; at least one full time employee",M,arapahoecaresgrant@arapahoegov.com,https://web.archive.org/web/20210109013142/https://www.arapahoegov.com/2154/Small-Business-Relief-Fund-Grant,,01/09/21,"$3,500 - $7,000",Other,0,0,0,0,0,"initial preference to businesses with receipts less than $500,000",,0,,,,,"Funded by State of Colorado under recent legislation: SB20B-001.; businesses with receipts less than $500,000 will be prioritized to receive grant funds first.",,,,,,,
34,51410,JONESBORO,51,AR,5,622310,0,0,0,622310,2018,1.095822693,0.02109360348,1,1,CITY,1,M,8/18/20,0,15,12,0,1,5,2,1,0,1,0,1,1,1,0,"Proposal narrative; conflict of interest statement; proof of eligibility; description of new/retained jobs; 2018 and 2019 tax returns, W9, W4; business license; post-grant proof of job creation/retainment; 3-20 employees; proof of COVID related losses; proof of whether other funding received (PPP/SBA)",M,lwilliams@jonesboro.org,"https://www.jonesboro.org/511/Small-Business-Emergency-Grant#:~:text=The%20City%20of%20Jonesboro%20allocated,or%20rent%20and%20utility%20payments.",,2/3/21,1000-10000,Points system,0,0,0,1,1,bonus points for local businesses (not national/franchise),,0,,,,,"Grant is for low/moderate income employing businesses to create/retain jobs, can also use for PPE and rent/utilities but have to create/retain at least 1 job, CDBG funded",,,,,No info,,
193,120402,CAPE CORAL,51,FL,12,1063955,0,0,0,1063955,2018,2.565794893,0.02708115519,1,1,COUNTY,0,05/28,06/26,M,3,M,M,M,M,M,M,M,M,M,1,M,,M,<= 25 employees;,M,239-533-2273,https://web.archive.org/web/20200528223926/https://leeflcares.com/,,05/28/20,"$5,000",Other,0,0,0,0,0,,,0,,,,,Funded by CARES Act; Missing required documentation  ,,,,,,,
784,403036,TULSA,51,OK,40,3349811,274358,1788115,466513,5878797,2018,3.525765329,0.05211026609,1,0,CITY,0,M,M,1,3,3,0,0,1,1,1,0,1,0,1,0,0,0,<50 FTE employees; <$5mil 2019 revenue; >=25% revenue loss due to COVID-19,NA,taskforce@tulsaresponds.org,"https://www.cityoftulsa.org/residents/coronavirus-covid-19/resilience-and-recovery-fund/#:~:text=In%20partnership%20with%20Tulsa%20Economic,entrepreneurs%20affected%20by%20COVID%2D19.&text=Apply%20on%20the%20Tulsa%20Responds%20website.",,2/3/21,0-50000,Other,0,0,0,0,0,,this is for a loan,0,,,,,"Short survey to fill out and then staff contacts applicants to work through full application, full application not publicly available online, zero interest loan program, funding unclear",,,,,No info,,
75,62826,PLEASANTON CITY,51,CA,6,318793,0,0,0,318793,2018,0.8309426798,0.006410725718,1,1,COUNTY,0,11/16/20,11/30/20,,6,3,1,0,1,1,1,0,0,0,1,0,,1,<= 25 employees; negatively impacted by COVID-19; valid business license; Form W-9; physical location,M,510-272-6746,https://eastbayeda.org/grants/,,11/30/20,"$5,000",Lottery,0,0,0,0,0,,,0,,,,,Funded by CARES Act; Missing required documentation  ,,,,,,,
679,372406,ROCKY MOUNT,51,NC,37,565761,0,597456,0,1163217,2018,1.822500988,0.01332169097,1,1,CITY,1,M,M,0,6,6,0,0,3,1,1,0,1,0,1,0,0,1,<25 employees; govt issued ID; 2018 or 2019 tax forms; <$150k annual revenue; expense documentation; owner and employee income forms; city vendor ID number,NA,cbd@rockymountnc.gov,https://www.rockymountnc.gov/UserFiles/Servers/Server_230888/File/Departments%20&%20Services/Community%20&%20Business%20Development/SBAApplication.pdff,,2/3/21,M,M,M,M,M,M,M,,,M,,,,,"CDBG funded, short application, little info about the program online",,,,,No info,,
565,270456,BLOOMINGTON,51,MN,27,459138,0,0,0,459138,2018,0.5219566993,0.01132233143,4,1,COUNTY,M,M,12/01/20,M,6,1,1,0,M,M,1,0,0,1,1,1,,M,<= 50 employees; ,M,economic.development@hennepin.us,https://web.archive.org/web/20201130002900/https://www.hennepin.us/economic-development/programs/Emergency-relief,,11/03/20,"$10,000 - $15,000",Lottery,0,0,0,0,0,,,0,,,,,"Alrealdy 5th round, but missing funding source; unclear about required document. Using infor from 4th round",,,,,,,
629,394998,SPRINGFIELD,51,OH,39,1838408,148427,543630,0,2530465,2018,1.460565019,0.006958394205,1,1,COUNTY,0,10/12/20,11/18/20,0,11,6,1,0,4,2,1,0,1,1,1,1,1,0,"2018 and 19 tax returns, W3, W9, receipts/invoices, EINs; financial proof of COVID related losses, itemized budget for COVID related expenses; other funding sources (PPP/SBA); narrative and intended use; demonstrated need; <50 employees; <$5mil annual revenue; no PPP/SBA funding, physical presence; good standing",NA,jdietz@clarkcountyohio.gov,https://web.archive.org/web/20201016204237/https://www.clarkcountyohio.gov/670/Clark-County-CARES-grant-program,,10/16/20,0-15000,M,M,M,M,M,M,,,M,,,,,"Priority for businesses outside of Springfield (county program), CARES funded but doesn't say if CDBG",,,,,No info,,
537,273768,PLYMOUTH,51,MN,27,264529,0,0,0,264529,2018,0.473446961,0.01044577664,4,1,COUNTY,M,M,12/01/20,M,6,1,1,0,M,M,1,0,0,1,1,1,,M,<= 50 employees; ,M,,https://web.archive.org/web/20201130002900/https://www.hennepin.us/economic-development/programs/Emergency-relief,,11/03/20,"$10,000 - $15,000",Lottery,0,0,0,0,0,,,0,,,,,"Alrealdy 5th round, but missing funding source; unclear about required document. Using infor from 4th round",,,,,,,
183,63048,RIVERSIDE,51,CA,6,3281692,275223,1218230,2587369,7362514,2018,1.063668095,0.02057960472,4,1,COUNTY,0,10/29/20,12/1/20,0,11,7,1,0,4,2,1,0,1,1,1,1,0,1,"W9, 2019 tax return, TIN/EIN; business license; proof of COVID related losses; physical presence; good standing; different employee limits by business type",0,economic.development@hennepin.us ,https://www.riversideca.gov/sites/default/files/press/pdf/CARES%20Act_Small%20Business%20Grant_Program%20Overview.pdff,,11/30/20,0-15000,FCFS,0,0,0,0,0,,,0,,,,,"Four rounds, many different requirements and funding based on business size and type",4637,9717,40%,,Info available on MBEs but not WBEs,Hennepin County Small Business Relief Fund impacts,
278,90726,NEW HAVEN,51,CT,9,3761700,307289,1344897,1076899,6490785,2018,0.5560002509,0.005363175544,1,1,STATE,0,M,12/30/20,M,10,5,1,0,3,1,1,0,0,0,1,0,,1,Social Security number; Federal EIN number; State TAX ID number; Bank Routing Number;<= 20 employees or less than $1.5mmillion annual revenus; operate before 10/01/19; pass a DRS tax status review; 20% or more reduce revenue due to COVID;,NA,DECDCTRecovery@ct.gov,https://portal.ct.gov/-/media/DECD/Covid_Business_Recovery-Phase-2-1/CT_CARES_Grant_One_Page_Updated_1132020.pdf,,11/3/20,"$5,000",Comm,0,0,0,0,0,,,0,,,,,Minimum documentation requirements listed,,,,,,,
366,195508,WEST DES MOINES,51,IA,19,310009,0,0,0,310009,2018,1.064536261,0.012863,1,1,COUNTY,0,5/5/20,5/20/20,0,8,6,0,1,5,0,1,0,1,1,1,0,0,0,"4mo P/Ls from 2019 and 2020, 3mo projected income, balance sheet, payroll; proof of COVID related financial losses; funding received from PPP/SBA; physical presence; operating since 7/1/19",NA,smallbizfunding@theiowacenter.org,https://www.dsmpartnership.com/covid-19/small-business-recovery-grant,,2/3/21,1000-5000,M,0,0,0,0,0,,,0,,,,,"Program mainly based in Des Moines but applicable to entire region, Des Moines has access to extra $$$ through CDBG so unclear where rest of funding is coming from",,,,,List of recipient businesses but no info about their ownership,https://www.dsmpartnership.com/filesimages/PDF/Small Biz Recovery Grant_Recipients_9.1.pdf,
849,426711,STATE COLLEGE,51,PA,42,536621,0,589983,0,1126604,2018,0.2408759434,0.001259378038,1,1,COUNTY,0,03/01/20,9/11/20,M,6,6,1,1,4,1,1,0,0,0,1,0,,1,<=100 employees; physical location; W-9; Profit&lost revenure statement; 2018 or 2019business tax returns; Have experienced a revenue decline due to COVID-19; business license,NA,sbdc@psu.edu,"https://centrecountypa.gov/2207/CARES-Act-County-Relief-Block-Grant-Awar#:~:text=Small%20Business%20Grants&text=Applications%20must%20have%20been%20submitted,decline%20due%20to%20COVID%2D19.",,02/04/21,"Up tp $30,000",Comm,0,0,0,0,0,,,0,,,,,Funded by CARES Act; ,437,,,,"Total Grant Amount : $5,543,630.42",,
359,191134,COUNCIL BLUFFS,51,IA,19,972094,0,0,0,972094,2018,0.9520207761,0.01317262309,1,1,CITY,1,M,M,0,8,4,1,0,2,2,0,0,0,1,1,0,0,0,Physical presence; currently operating; HUD income qualifications; proof of 10% revenue loss due to COVID; <15 FTE employees; meet $30k Asset Quality Test,NA,(402) 960-8505,https://councilbluffs-ia.gov/2418/COVID-19-Grants-CDBG-CV,,2/4/21,2000-10000,FCFS,0,0,0,0,0,,,0,,,,,"Full application not available online, documentation requirements unavailable, website directs applicants to contact reps at one of two local EDCs",,,,,No info,,
937,485580,VICTORIA,51,TX,48,551813,0,0,0,551813,2018,0.8357893308,0.01040934703,1,0,CITY,0,05/18/20,M,M,4,4,1,1,1,2,1,0,1,0,0,0,,1,suffered financial losses due to COVID-19; must have a physical address; must have good credit with a minimum credit score of 600 as of Jan. 31; business financials; projections; business plan,NA,888-222-0017,https://peoplefund.org/peoplefund-city-of-victoria-launch-small-business-relief-program/,,05/13/20,"Up to $50,000",M,M,M,M,M,M,,,0,,,,,"Corporate with local organization ""People Fund""; 0% interest for the first six months; afterward, the interest rate will increase to a maximum of 5%.",,,,,,,
